fips,TOT_POP,0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,60-69 y/o % of total pop,70-79 y/o % of total pop,80+ y/o % of total pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,MEDHHINC_2018,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total Hospitals (2019),ICU Beds_x,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,anycondition_prevalence,Obesity_prevalence,Heart disease_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code
1001,55601,12.20661499,13.73536447,12.37028111,12.74977069,13.63644539,13.91701588,10.47822881,7.284041654,3.62223701,76.72523875,10915,19.63094189,267,0.480207191,681,1.224798115,62,0.111508786,1016,1.827305264,158,455,11.8,9.6,2.2,0.0,0.7,11.3,32.6,28.4,27.7,13.8,19.3,59338,3.6,119.0,217.1,77.2,7.6,6.9,1.148905321,6,19.1,1,1,47.6,35.8,7.9,8.6,12.9,3.1,3
1003,218022,11.35527607,12.3441671,10.81496363,11.56442928,12.53910156,13.75365789,13.72888975,9.602700645,4.296814083,87.2852281,19492,8.940382163,1684,0.772399116,2508,1.150342626,146,0.066965719,3891,1.78468228,5403,2190,10.5,10.3,0.1,0.5,24.3,9.7,27.6,31.3,31.3,9.8,13.9,57588,3.6,115.5,217.1,77.2,7.6,6.9,4.505074295,51,26.3,1,3,40.2,29.7,7.8,8.6,12.0,3.2,4
1005,24881,10.98026607,11.89662795,13.13452032,12.86523854,12.35480889,13.17471163,12.36284715,9.018930107,4.212049355,49.06957116,12042,48.39837627,164,0.659137495,113,0.45416181,46,0.184880029,307,1.233873237,-277,2820,10.4,12.9,-2.5,0.5,-9.1,27.0,35.7,25.1,12.2,30.9,43.9,34382,5.2,68.9,217.1,77.2,7.6,6.9,0.514125884,5,23.5,1,5,57.5,40.7,11.0,12.1,19.7,4.5,6
1007,22400,10.96428571,11.58928571,13.52232143,13.89732143,13.5625,13.90625,11.36160714,7.691964286,3.504464286,76.83482143,4770,21.29464286,98,0.4375,53,0.236607143,26,0.116071429,242,1.080357143,-155,2151,11.1,11.4,-0.3,0.4,-7.0,16.8,47.3,24.4,11.5,21.8,27.8,46064,4.0,92.3,217.1,77.2,7.6,6.9,0.462860006,0,21.1,1,7,51.6,38.7,8.6,10.0,14.1,3.3,2
1009,57840,12.26659751,13.08782849,11.65629322,11.90179806,12.92185339,13.5615491,12.04183956,8.525242047,4.036998617,95.87828492,950,1.642461964,378,0.653526971,185,0.319847856,70,0.121023513,801,1.384854772,13,489,11.8,11.4,0.3,0.1,-0.2,19.8,34.0,33.5,12.6,13.2,18.0,50412,3.5,101.1,217.1,77.2,7.6,6.9,1.195170658,6,23.6,1,9,46.3,34.0,9.2,10.5,13.5,3.4,2
1011,10138,11.81692642,11.14618268,13.76011048,14.26316828,12.56658118,13.37541921,12.02406786,6.934306569,4.113237325,26.24778063,7168,70.70428092,85,0.838429671,19,0.187413691,76,0.749654764,129,1.272440324,-38,1661,11.3,11.8,-0.5,-0.2,-3.0,24.8,39.7,22.3,13.3,42.5,68.3,29267,4.7,58.7,217.1,77.2,7.6,6.9,0.209485479,0,22.6,1,11,60.7,45.8,10.0,10.9,20.6,4.5,6
1013,19680,11.94613821,12.5050813,11.61585366,11.875,11.77845528,12.65752033,13.63313008,8.43495935,5.553861789,52.25101626,8839,44.91361789,74,0.37601626,259,1.316056911,10,0.050813008,215,1.092479675,-218,333,11.2,12.1,-0.9,0.9,-11.0,15.4,43.9,24.6,16.1,24.5,36.3,37365,4.8,74.9,217.1,77.2,7.6,6.9,0.406655577,7,25.6,1,13,58.1,41.2,10.4,11.4,18.6,4.3,6
1015,114277,11.49925182,12.80835164,13.53115675,12.13280013,12.01204092,13.41039754,12.8118519,7.857224113,3.936925191,75.27848998,24153,21.13548658,617,0.539916169,1102,0.96432353,126,0.110258407,2253,1.971525329,-387,2739,11.3,13.1,-1.8,0.6,-2.2,15.9,32.4,33.7,18.0,19.5,26.5,45400,4.7,91.0,217.1,77.2,7.6,6.9,2.361350576,24,23.5,1,15,53.6,40.9,9.1,10.2,14.7,3.6,4
1017,33615,11.50974267,11.34017552,13.02989737,11.10813625,12.13148892,14.16331995,13.36308196,8.84129109,4.51286628,57.0638108,13446,40.0,103,0.306410829,446,1.326788636,15,0.044622936,423,1.258366801,-143,458,10.6,13.7,-3.1,0.6,-1.7,18.6,38.4,29.7,13.2,18.7,30.7,39917,3.9,80.0,217.1,77.2,7.6,6.9,0.69459996,0,25.1,1,17,55.7,39.1,9.8,10.8,17.5,4.0,5
1019,26032,9.811001844,11.45129072,10.95574677,9.618930547,12.3079287,14.87784266,15.15826675,10.89044253,4.928549478,93.02781192,1109,4.260141364,172,0.660725261,88,0.338045483,8,0.030731408,438,1.682544561,217,290,8.4,13.1,-4.7,0.0,13.0,19.8,38.3,29.0,12.9,16.3,24.7,42132,3.6,84.5,217.1,77.2,7.6,6.9,0.53790945,0,29.1,1,19,55.9,39.1,10.8,12.1,15.9,3.9,6
